Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2015-16,24,OKC,NBA,PF,5,0,11,1,2.4,0.417,0.8,1.2,0.667,0.2,1.2,0.167,0.583,0,0.8,0,0.4,1.6,2,0,0.2,0.4,0.6,0.6,2.8,
2016-17,25,OKC,NBA,PF,2,0,15.5,3,5.5,0.545,1,2,0.5,2,3.5,0.571,0.636,0,0.5,0,2,2.5,4.5,1.5,0,1.5,0,0,7,
2017-18,26,OKC,NBA,PF,69,10,14.2,0.9,2.6,0.33,0.5,1.7,0.287,0.4,1,0.403,0.42,0.1,0.3,0.3,0.6,1.7,2.3,0.3,0.2,0.6,0.4,1.2,2.3,
