Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2014-15,23,2TM,NBA,PF,32,22,23.1,2.8,6.9,0.414,0,0.3,0.111,2.8,6.6,0.427,0.416,0.9,1.4,0.652,1.5,3.6,5.1,0.9,0.6,0.3,1.4,2.8,6.7,
2014-15,23,ATL,NBA,PF,3,0,6.3,0.7,2.3,0.286,0,0.3,0,0.7,2,0.333,0.286,0.3,0.7,0.5,0.3,1,1.3,0,0.3,0,0,1.3,1.7,
2014-15,23,MIN,NBA,PF,29,22,24.8,3.1,7.3,0.418,0,0.3,0.125,3,7.1,0.429,0.42,1,1.5,0.659,1.6,3.8,5.4,1,0.6,0.3,1.5,2.9,7.2,
2015-16,24,MIN,NBA,PF,52,2,9.3,1,2.8,0.366,0.2,0.6,0.281,0.8,2.2,0.389,0.397,0.3,0.5,0.654,0.4,1.8,2.1,0.6,0.3,0.2,0.7,1.5,2.5,
2016-17,25,MIN,NBA,PF,18,0,7.5,1.3,3,0.426,0.2,0.8,0.2,1.1,2.2,0.513,0.454,0.8,1.1,0.737,0.5,1.3,1.8,0.4,0.4,0.4,0.4,1.8,3.5,
2017-18,26,ORL,NBA,PF,5,0,8.6,1.4,2,0.7,0.4,0.6,0.667,1,1.4,0.714,0.8,1,1.2,0.833,0.4,1.4,1.8,0,0.4,0,0.4,1.2,4.2,
