Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2014-15,Did not play - other pro league,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,23,ATL,NBA,C,11,0,6.6,1,1.7,0.579,0,0,1,1.7,0.579,0.579,0.3,0.7,0.375,0.6,1.3,1.9,0.3,0.1,0.5,0.5,0.7,2.3,
2016-17,24,2TM,NBA,C,2,0,14,2,2.5,0.8,0,0,2,2.5,0.8,0.8,0,1.5,0,2,3.5,5.5,0.5,0,3,1,1.5,4,
2016-17,24,ATL,NBA,C,1,0,4,1,1,1,0,0,1,1,1,1,0,2,0,0,1,1,0,0,0,0,0,2,
2016-17,24,CLE,NBA,C,1,0,24,3,4,0.75,0,0,3,4,0.75,0.75,0,1,0,4,6,10,1,0,6,2,3,6,
